,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
CC1CC(C(C2(C1=CC(=O)C3(C2C(C4C(C3C(=O)O4)C)O)C)C)O)O,0.7894736842105263,25.0,3.0,6.0,3.0,1.0,0.0,6.0,3.0,6.0,0.0,2.0,1.0,3.0,4.0
CC1C(C(C2C3(C(CC4C2(C1(C(C(=O)O4)O)O)C)C(=CC(=O)C3O)C)C)O)O,0.8,28.0,5.0,8.0,3.0,1.0,0.0,8.0,5.0,8.0,0.0,2.0,1.0,3.0,4.0
CCCCCC=CC=CC=O,0.5,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,0.9354838709677419,32.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0
CCC(C)N=C=S,0.8,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O,0.21428571428571427,44.0,10.0,16.0,0.0,1.0,3.0,16.0,10.0,16.0,6.0,0.0,1.0,1.0,5.0
C=CCCN=C=S,0.4,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
COC1=CC=C(C=C1)C=O,0.125,10.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
C=CCCCN=C=S,0.5,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
C1=CC2=C(C=CC(=O)O2)C=C1N,0.0,12.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
CCC(C)CC(C)C=C(C)C1C(CCC(O1)C2=C(C(=CN(C2=O)C)C3(CCC(=O)CC3O)O)O)C,0.7142857142857143,35.0,3.0,7.0,1.0,1.0,0.0,7.0,3.0,7.0,7.0,1.0,1.0,2.0,3.0
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O,0.0,22.0,5.0,7.0,0.0,0.0,2.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0
COC1=CC2=C(C=C1)OC(=O)C=C2,0.1,13.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0
CC1=CC2=C(C=C1)OC(=O)C=C2,0.1,12.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
CC1=CC2=C(C=C1)C=CC(=O)O2,0.1,12.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
COC1=C(C(=C2C(=C1)CC(CO2)C3=CC(=O)C(=C(C3=O)OC)OC)OC)O,0.3684210526315789,27.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,8.0,5.0,0.0,0.0,0.0,3.0
COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,0.0625,21.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0
CC(=O)C1=CC=CC=C1,0.125,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
CC(=O)OC1=CC=CC=C1C(=O)O,0.1111111111111111,13.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0
CCC(C)C(=O)C1=C(C2=C(C(=C1O)CC(C(=C)C)O)OC3=C2C(=C(C(=C3C(=O)C(C)CC)O)CC=C(C)C)O)O,0.4375,40.0,5.0,8.0,0.0,0.0,2.0,8.0,5.0,8.0,11.0,0.0,0.0,0.0,3.0
CC=CC1=CC2=C(C(=C1)OC)OC(C2C)C3=CC(=C(C=C3)OC)OC,0.3333333333333333,25.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O)O)O,0.0,40.0,6.0,10.0,0.0,0.0,4.0,10.0,6.0,10.0,3.0,0.0,0.0,0.0,6.0
CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45,0.47619047619047616,26.0,1.0,5.0,0.0,3.0,1.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,5.0
C=CCSS(=O)CC=C,0.3333333333333333,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
CC1(CCC23CCC4(C(C2C1OC3)CCC5C4(CCC6C5(CCC(C6(C)C)O)C)C)C)C,1.0,32.0,1.0,2.0,5.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,1.0,6.0,6.0
CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3,0.38095238095238093,27.0,0.0,6.0,0.0,2.0,2.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,4.0
"CC1=C(C(CC(C1)O)(C)C)C#CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C#CC2=C(CC(CC2(C)C)O)C)C)C",0.45,42.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0
C=CCN=C=S,0.25,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,0.9333333333333333,31.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,5.0
CC(=CCCC(=CC=O)C)C,0.5,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
CC1=CCC(CC1)C(C)(C)O,0.8,11.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,0.7931034482758621,31.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,12.0,0.0,0.0,0.0,2.0
C=CC1C2CCOC(=O)C2=COC1OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)O)C5=CC(=CC=C5)O)O)O)O)O,0.3793103448275862,42.0,6.0,13.0,0.0,3.0,2.0,13.0,6.0,13.0,7.0,0.0,2.0,2.0,5.0
C=CC1C(OC=C2C1(CCOC2=O)O)OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O,0.3793103448275862,43.0,7.0,14.0,0.0,3.0,2.0,14.0,7.0,14.0,7.0,0.0,2.0,2.0,5.0
CC1=CC(=O)CC(C1(CC(=O)C(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=C=C2C(CC(CC2(C)O)O)(C)C)C)C)O)(C)C,0.475,45.0,3.0,5.0,2.0,0.0,0.0,5.0,3.0,5.0,10.0,1.0,0.0,1.0,2.0
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)CO)C)C2C1)C)C(=O)O)C,0.8666666666666667,34.0,2.0,4.0,5.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,0.0,4.0,5.0
CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,0.75,25.0,3.0,5.0,2.0,1.0,0.0,5.0,3.0,5.0,3.0,2.0,1.0,3.0,3.0
CC=CC1=CC=C(C=C1)OC,0.2,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,0.0,14.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
CC(=CC(=O)CC(=CCC1COC(=O)C1=C)C)C,0.4666666666666667,18.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C,0.5,43.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,3.0,10.0,1.0,1.0,2.0,3.0
C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,0.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,1.0,24.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC,0.6176470588235294,45.0,3.0,11.0,0.0,2.0,1.0,7.0,3.0,11.0,12.0,0.0,2.0,2.0,4.0
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,0.0,20.0,3.0,5.0,0.0,0.0,2.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0
C1C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O,0.4230769230769231,40.0,8.0,14.0,0.0,2.0,2.0,14.0,8.0,14.0,7.0,0.0,2.0,2.0,5.0
CC(=O)C1=CC(=C(C=C1)O)OC,0.2222222222222222,12.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0
CN1CCC=C(C1)C(=O)OC,0.625,11.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)OC,0.3684210526315789,23.0,1.0,4.0,0.0,1.0,2.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0
CC1C2C3CCC4C5(CCC(C(C5CCC4(C3(CC(C2(CCC1=C)C)O)C)C)(C)C)O)C,0.9333333333333333,32.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,0.0,5.0,5.0
CCC1=C(C(=C(C(=O)O1)CC2=C(C(=C(C(=C2O)CC=C(C)C)O)C(=O)C)O)O)C,0.36363636363636365,29.0,4.0,7.0,0.0,0.0,1.0,7.0,4.0,7.0,6.0,0.0,0.0,0.0,2.0
C(C(C1C(=C(C(=O)O1)O)O)O)O,0.5,12.0,4.0,6.0,0.0,1.0,0.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O,0.9,35.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,5.0,2.0,4.0,0.0,4.0,5.0
